Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:08361007


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
8361007;1;01/04/2021;1;137,0;406,6;6;15;1;1;1;;0;0,0;0,0;0,0;1,2;38,4;137,0;0,6;65,5;64,1;4,9;17,5;0,0;0,0;14,3;0,0;16,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,3;3,9;8,2;0,0;22,5;2,5;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
8361007;1;01/03/2021;1;38,0;104,1;24;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;19,3;18,5;2,0;0,0;4,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38,0;0,0;0,0;14,1;0,0;0,0;1,7;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/02/2021;1;3,3;3,3;5;1;1;1;1;;0;0,0;0,0;0,0;0,0;3,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
8361007;1;01/01/2021;1;34,8;93,5;7;7;1;1;1;;0;0,0;0,0;3,7;1,5;0,0;0,0;34,8;33,1;8,2;12,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/12/2020;1;20,6;77,7;26;12;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;7,0;0,0;0,0;3,1;0,0;1,3;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;18,9;7,6;20,6;0,0;4,1;2,4;10,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/11/2020;1;63,5;251,6;25;13;1;1;1;;0;24,4;20,6;5,2;0,0;47,9;0,0;0,0;48,4;0,7;0,0;0,0;0,0;0,0;1,5;0,0;6,3;0,0;10,4;0,0;0,0;0,0;3,1;0,0;0,0;63,5;18,0;0,0;0,0;0,0;1,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
8361007;1;01/10/2020;1;28,6;45,5;31;6;1;1;1;;0;0,0;0,0;3,1;0,0;9,8;0,3;1,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/09/2020;1;18,0;40,7;3;6;1;1;1;;0;0,0;0,0;18,0;0,0;1,8;0,0;0,0;0,0;13,4;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,7;0,0;0,0;5,1;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
8361007;1;01/08/2020;1;55,5;233,1;29;14;1;1;1;;0;0,0;0,0;0,0;44,0;0,0;20,2;0,0;6,8;0,0;0,0;30,9;20,6;0,0;0,0;34,9;0,0;0,8;0,7;0,0;0,0;0,0;0,0;4,2;0,0;0,0;9,0;0,1;0,0;55,5;2,5;2,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/07/2020;1;62,0;378,9;6;21;1;1;1;;0;1,6;22,2;0,2;0,0;47,3;62,0;0,2;19,3;0,0;5,5;0,0;11,2;17,6;0,0;4,8;0,0;7,2;3,6;9,5;0,0;0,0;22,0;30,9;43,9;0,0;0,5;50,9;0,0;0,0;18,0;0,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
8361007;1;01/06/2020;1;84,8;399,0;29;18;1;1;1;;0;0,0;0,3;0,0;27,5;0,8;3,5;28,2;51,2;42,5;0,0;0,0;30,2;4,1;19,5;3,3;0,0;0,0;9,3;0,0;0,0;0,6;23,4;0,0;0,0;0,0;6,2;36,7;26,9;84,8;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
